Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
4	2	340	20	37.1491937943753	0.0703125	0.052083333333333336	0.03399999999999892	0.10431249999999892	0.018229166666666668	37.2535062943753	Cloud2	0.1673624999999987	0.0	10.744187499999889	
5	0	5760	602	44.6873782365016	1.6223958333333333	1.5677083333333333	0.576000000000003	2.198395833333336	0.0546875	46.88577406983494	Cloud2	3.6115125000000035	0.0	226.43477083333363	
9	0	5631	357	51.9658806611867	1.203125	0.9296875	0.5630999999999986	1.7662249999999986	0.2734375	53.7321056611867	Cloud2	2.8413449999999982	0.0	181.92117499999986	
10	2	953	66	54.341014216432	0.1796875	0.171875	0.09530000000000172	0.2749875000000017	0.0078125	54.616001716432	Cloud2	0.43779750000000206	0.0	28.323712500000177	
17	0	7783	223	80.7420321992793	3.419270833333333	0.5807291666666666	0.7783000000000113	4.197570833333344	2.8385416666666665	84.93960303261264	Cloud2	7.088647500000013	0.0	432.3497958333345	
21	0	25167	3321	85.6964215479817	11.096354166666666	8.6484375	2.5167000000000055	13.613054166666672	2.4479166666666665	99.30947571464837	Cloud2	22.993477500000004	0.0	1402.1445791666672	
23	2	167	19	110.18335953001	0.06510416666666666	0.049479166666666664	0.016700000000004905	0.08180416666667156	0.015625	110.26516369667667	Cloud2	0.1372275000000059	0.0	8.425829166667171	
26	2	852	49	117.793629322555	0.14583333333333331	0.12760416666666666	0.08520000000000988	0.2310333333333432	0.018229166666666668	118.02466265588835	Cloud2	0.36474000000001183	0.0	23.79643333333435	
37	0	5853	770	150.084704909961	2.080729166666667	2.0052083333333335	0.5853000000000081	2.666029166666675	0.07552083333333333	152.75073407662768	Cloud2	4.44767250000001	0.0	274.6010041666675	
43	0	6171	89	172.831895654034	1.4427083333333333	0.23177083333333334	0.6171000000000031	2.0598083333333363	1.2109375	174.89170398736735	Cloud2	3.3373950000000034	0.0	212.16025833333364	
45	0	3420	108	177.06525131215	0.2916666666666667	0.28125	0.34200000000000347	0.6336666666666702	0.010416666666666666	177.69891797881667	Cloud2	0.9354000000000042	0.0	65.26766666666703	
48	2	1291	72	183.818649312469	0.22395833333333334	0.1875	0.12910000000000346	0.3530583333333368	0.036458333333333336	184.17170764580234	Cloud2	0.5580450000000041	0.0	36.36500833333369	
51	0	5307	256	200.619303740808	1.0286458333333333	0.6666666666666666	0.5306999999999771	1.5593458333333103	0.3619791666666667	202.1786495741413	Cloud2	2.4884024999999723	0.0	160.61262083333096	
55	0	20825	1957	214.007397087964	7.770833333333334	5.096354166666667	2.0824999999999907	9.853333333333325	2.6744791666666665	223.86073042129732	Cloud2	16.48649999999999	0.0	1014.8933333333324	
63	0	9758	68	251.441271144393	3.026041666666667	0.17708333333333334	0.9758000000000111	4.001841666666678	2.8489583333333335	255.44311281105968	Cloud2	6.617835000000014	0.0	412.18969166666784	
73	0	4471	468	305.361827795571	1.8645833333333335	1.21875	0.44709999999995853	2.311683333333292	0.6458333333333334	307.6735111289043	Cloud2	3.8927699999999503	0.0	238.10338333332908	
82	0	8325	1389	322.052872705226	3.6796875	3.6171875	0.8324999999999818	4.512187499999982	0.0625	326.56506020522596	Cloud2	7.622437499999979	0.0	464.7553124999981	
88	0	11221	1047	345.800142216132	3.0416666666666665	2.7265625	1.122100000000008	4.163766666666675	0.3151041666666667	349.96390888279865	Cloud2	6.821520000000009	0.0	428.8679666666675	
105	1	4636	479	408.260095108803	1.3151041666666665	1.2473958333333333	0.4635999999999476	1.7787041666666141	0.06770833333333333	410.0387992754696	Cloud2	2.9235074999999373	0.0	183.20652916666126	
118	2	1598	232	464.189869428393	0.609375	0.6041666666666666	0.15980000000001837	0.7691750000000184	0.005208333333333333	464.95904442839304	Cloud2	1.2886350000000222	0.0	79.22502500000189	
119	2	476	36	466.490402924241	0.09635416666666667	0.09375	0.047600000000007484	0.14395416666667415	0.0026041666666666665	466.63435709090766	Cloud2	0.230557500000009	0.0	14.827279166667438	
121	0	4660	62	468.7982080996	0.3697916666666667	0.16145833333333334	0.46599999999997027	0.835791666666637	0.20833333333333334	469.63399976626664	Cloud2	1.2248249999999643	0.0	86.0865416666636	
128	0	11380	945	475.714707327735	4.317708333333333	2.4609375	1.137937760515892	5.455646093849225	1.8567708333333333	481.17035342158425	Cloud2	9.13740031261907	0.0	561.9315476664701	
131	0	7836	180	483.369347309702	1.484375	0.46875	0.7835999999999785	2.2679749999999785	1.015625	485.637322309702	Cloud2	3.612194999999974	0.0	233.6014249999978	
132	2	852	146	486.025689593328	0.39322916666666663	0.3802083333333333	0.08519999999994832	0.47842916666661495	0.013020833333333334	486.50411875999464	Cloud2	0.8100524999999379	0.0	49.27820416666134	
