task_id	Iot_source	MI	Inputsize	outputsize	Queuing_local	local_processing	total_IoT_response_time	total_IoT_response_energy	edge_up_delay	edge_dw_delay	Queuing_edge	edge_processing	total_edge_time	total_edge_response_energy	edge_up_delay2	edge_dw_delay2	Queuing_edge2	edge_processing2	total_edge_time2	total_edge_response_energy2	edge_up_delay3	edge_dw_delay3	Queuing_edge3	edge_processing3	total_edge_time3	total_edge_response_energy3	edge_up_delay4	edge_dw_delay4	Queuing_edge4	edge_processing4	total_edge_time4	total_edge_response_energy4	cloud_up_delay	cloud_dw_delay	Queuing_cloud	cloud_processing	total_cloud_time	total_cloud_response_energy1	cloud_up_delay2	cloud_dw_delay2	Queuing_cloud2	cloud_processing2	total_cloud_time2	total_cloud_response_energy2
11	1	5179	3710	24	0.0	103.58	103.58	238.23399999999998	5.796875	0.0375	0.0	1.7263333333333333	7.5607083333333325	12.573475	5.269886363636363	0.03409090909090909	0.5988	2.0716	7.974377272727272	12.03307909090909	4.91601387017071	0.03299455840418187	0.0	2.5895	7.538508428574892	11.8589625	4.531131486631692	0.03059071225033572	1.0857142857142856	2.959428571428572	8.606865056024885	11.62967967032967	11.59375	0.075	0.0	0.4315833333333333	12.100333333333333	21.52165	9.661458333333334	0.0625	0.0	0.5179	10.241858333333333	18.124605000000003
12	0	7788	1436	297	0.0	155.76	155.76	358.24799999999993	2.24375	0.4640625	0.0	2.596	5.303812499999999	7.989262500000001	2.039772727272727	0.421875	0.0	3.1152	5.576847727272727	8.169205909090909	1.95507637017071	0.38846330840418186	0.0	3.894	6.237539678574892	8.73451875	1.7979584097086152	0.3587157122503357	0.0	4.450285714285714	6.606959836244665	9.089621703296704	4.4875	0.928125	0.0	0.649	6.0646249999999995	10.526925	3.7395833333333335	0.7734375	0.0	0.7788	5.291820833333334	9.0579975
13	0	3584	523	548	0.0	71.68	71.68	164.864	0.9430507596685083	0.8579945584041818	2.596	1.1946666666666665	5.591711984739357	4.4457875	0.7428977272727273	0.7784090909090909	0.0	1.4336	7.518827272727274	12.673729090909092	0.7662742868373765	0.7152862250708485	0.0	1.792	3.273560511908225	4.66055625	0.7006026404778459	0.660398404558028	0.0	2.048	3.409001045035874	4.774667307692308	1.634375	1.7125	0.0	0.2986666666666667	3.6455416666666665	6.382775	1.3619791666666667	1.4270833333333333	0.0	0.3584	3.1474625	5.4503925
14	0	624	3234	218	0.0	12.48	12.48	28.703999999999997	5.1789882596685075	0.3423695584041819	2.596	0.20800000000000018	8.325357818072689	9.958350000000001	4.59375	0.3096590909090909	0.0	0.2496	5.153009090909091	9.125656363636363	4.296222203504043	0.28559872507084855	1.792	0.31200000000000006	6.685820928574892	8.465025	3.9590161020163075	0.26376378917341264	0.0	0.3565714285714286	4.579351319761149	7.8961549450549455	10.10625	0.68125	0.0	0.052	10.8395	19.4799	8.421875	0.5677083333333334	0.0	0.0624	9.051983333333334	16.256130000000002
15	1	90	1523	1	0.0	1.8	1.8	4.14	2.3796875	0.0015625	0.0	0.03	2.41125	4.3222499999999995	2.163352272727273	0.0014204545454545455	0.0	0.036	2.2007727272727275	3.9397909090909096	2.0683576201707097	0.0030466417375152044	0.0	0.045	2.116404261908225	3.6258749999999997	1.902525717400923	0.002946481481104948	0.0	0.05142857142857143	1.9569007703105994	3.358829670329671	4.759375	0.003125	0.0	0.0075	4.7700000000000005	8.5815	3.9661458333333335	0.0026041666666666665	0.0	0.009	3.97775	7.1545499999999995
16	0	437	203	1007	0.0	8.74	8.74	20.102	0.3171875	1.5734375	0.0	0.14566666666666667	2.0362916666666666	3.577925	0.2883522727272727	1.4303977272727273	0.0	0.1748	1.89355	3.30351	0.3496076201707098	1.3129424750708487	0.0	0.2185	1.8810500952415583	3.0981375000000004	0.3159872558624613	1.2120810968657205	0.0	0.24971428571428572	1.7777826384424675	2.9174456043956045	0.634375	3.146875	0.0	0.03641666666666667	3.8176666666666668	6.849950000000001	0.5286458333333334	2.6223958333333335	0.0	0.0437	3.194741666666667	5.724315000000001
17	0	7783	223	1090	0.0	155.66	155.66	358.018	0.3484375	1.703125	0.0	2.594333333333333	4.645895833333333	6.8060125	0.31676136363636365	1.5482954545454546	0.0	3.1132	4.978256818181818	7.092942272727273	0.3756492868373764	1.4210153917375152	0.0	3.8915	5.688164678574892	7.74714375	0.34002571740092286	1.3118407122503357	0.24971428571428572	4.4474285714285715	6.349009286794116	8.177539285714285	0.696875	3.40625	0.0	0.6485833333333333	4.751708333333333	8.163925	0.5807291666666666	2.8385416666666665	0.0	0.7783	4.197570833333333	7.0886474999999995
18	0	1783	5540	456	0.0	35.66	35.66	82.01799999999999	8.65625	0.7125	0.0	0.5943333333333334	9.963083333333334	17.57695	7.869318181818182	0.6477272727272727	0.0	0.7132	9.230245454545456	16.18652181818182	7.29882637017071	0.5954945584041819	0.0	0.8915	8.785820928574893	15.122925000000002	6.7306507174009225	0.549821481481105	0.0	1.018857142857143	8.29932934173917	14.194743956043958	17.3125	1.425	0.0	0.14858333333333335	18.886083333333335	33.9058	14.427083333333334	1.198443279327986	0.0	0.1783	15.80382661266132	28.320210000000003
19	0	2058	866	237	0.0	41.16	41.16	94.66799999999998	1.353125	0.3703125	0.0	0.686	2.4094375	3.9253875	1.2301136363636365	0.3366477272727273	0.0	0.8232	2.3899613636363637	3.808010454545455	1.21288887017071	0.31033830840418186	0.0	1.029	2.5522271785748916	3.81995625	1.1128622558624612	0.2866003276349511	1.018857142857143	1.176	3.594319726354555	3.797498076923077	2.70625	0.740625	0.0	0.1715	3.618375	6.410175	2.2552083333333335	0.6281307793279859	0.0	0.2058	11.70632661266132	20.928210000000004
20	0	3740	1680	471	0.0	74.8	74.8	172.04	2.625	0.7359375	0.0	1.2466666666666666	4.6076041666666665	7.5456875	2.488991125326606	0.6707786493132728	0.8232	1.496	5.478969774639879	7.294915909090909	2.272784703504043	0.6150258084041819	0.0	1.87	4.757810511908225	7.285406250000001	2.091227640477846	0.5678503276349511	1.018857142857143	2.137142857142857	5.815077968112797	7.2181771978021985	5.25	1.471875	0.0	0.31166666666666665	7.033541666666666	12.473375	4.375	1.237505779327986	0.0	0.374	5.986505779327985	10.531612500000001
21	0	25167	3321	940	0.0	503.34	503.34	1157.6819999999998	5.1890625	1.46875	0.0	8.389	15.0468125	22.0508625	4.717329545454546	1.3352272727272727	0.0	10.0668	16.11935681818182	22.974762272727276	4.409503453504043	1.2257028917375152	1.87	12.5835	20.08870634524156	25.086918750000002	4.063583409708615	1.1315522507118743	1.018857142857143	14.381142857142857	20.59513566042049	26.475881043956043	10.378125	2.9375	0.0	2.09725	15.412875	26.484825	8.6484375	2.4479166666666665	0.0	2.5167	13.613054166666666	22.9934775
22	0	3357	2855	1411	0.0	67.14	67.14	154.422	4.4609375	2.2046875	0.0	1.119	7.784625	13.340925000000002	4.0553977272727275	2.0042613636363638	0.0	1.3428	25.581436363636367	45.24090545454546	3.8027326201707097	1.8389841417375152	0.0	1.6785	7.320216761908226	12.0126375	3.5034872558624612	1.6976580199426434	0.0	1.9182857142857144	7.119430990090819	11.531269780219779	8.921875	4.409375	0.0	0.27975	13.611	24.331950000000003	7.434895833333333	3.6744791666666665	2.5167	0.3357000000000001	13.961775	20.399715
