Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
174	0	342	169	698.455471432018	0.44634683113145457	0.24005681818181818	0.13679999999998926	0.5831468311314438	0.20629001294963642	699.0386182631495	Edge2	0.9675842960366053	62.59439770681805	0.0	
178	0	6553	1433	710.502850673565	3.5258922856769095	2.0355113636363638	3.4555365148861847	6.981428800563094	1.4903809220405455	717.4842794741281	Edge2	10.49324993208186	749.379586023642	0.0	
181	0	299	36	717.69667007897	0.29577864931327275	0.05113636363636364	0.23920000000002967	0.5349786493133024	0.24464228567690913	718.2316487282833	Edge2	0.8194415687639266	57.42407323864057	0.0	
191	2	42	162	761.019221753373	0.23327864931327277	0.23011363636363635	0.016799999999922682	0.25007864931319546	0.0031650129496364164	761.2693004026862	Edge2	0.4400615687637982	26.843192138629085	0.0	
194	1	4443	2860	767.459069559307	4.207710467495091	4.0625	1.7771999999999784	5.9849104674950695	0.14521046749509095	773.443980026802	Edge2	9.706518841491139	642.4143046704532	0.0	
201	2	139	163	780.357273820143	0.23611955840418186	0.2315340909090909	0.05560000000004284	0.2917195584042247	0.004585467495090962	780.6489933785472	Edge2	0.4917352051275788	31.312885679551073	0.0	
204	0	1045	167	808.029826298341	0.8554377402223636	0.2372159090909091	0.41799999999997084	1.2734377402223345	0.6182218311314546	809.3032640385634	Edge2	2.0413879324002195	136.68953359772516	0.0	
215	0	6481	2798	847.8902464522	4.023051376586	3.9744318181818183	2.5924000000000653	6.615451376586066	0.04861955840418187	854.5056978287861	Edge2	10.35237247785488	710.0959353113717	0.0	
230	0	2230	898	915.017995183204	1.741801376586	1.2755681818181819	1.150000000000045	2.891801376586045	0.4662331947678182	917.90979655979	Edge2	4.515242477854854	310.4030679613695	0.0	
236	0	5702	2048	926.243182496426	3.291517285676909	2.909090909090909	2.2807999999999224	5.5723172856768315	0.38242637658600004	931.8154997821028	Edge2	8.661691114218343	598.1269651272654	0.0	
238	0	2051	1034	937.01396296575	1.5841309220405455	1.46875	0.820399999999976	2.4045309220405215	0.11538092204054551	939.4184938877905	Edge2	3.835915659672953	258.09994464090755	0.0	
241	0	3487	151	957.622583957563	1.9733354674950911	0.21448863636363635	1.394800000000017	3.368135467495108	1.7588468311314547	960.9907194250582	Edge2	5.225763841491185	361.5322929454574	0.0	
246	0	3868	930	976.599852554024	3.409415012949636	1.3210227272727273	1.547200000000033	4.956615012949669	2.088392285676909	981.5564675669737	Edge2	7.993587023309384	532.0380988750045	0.0	
259	0	346	216	1039.19078494124	0.3739036493132728	0.3068181818181818	0.1384000000002077	0.5123036493134805	0.06708546749509096	1039.7030885905535	Edge2	0.8391065687641404	54.990161413659685	0.0	
265	2	302	192	1084.83774587922	0.2758922856769091	0.2727272727272727	0.12079999999995422	0.3966922856768633	0.0031650129496364164	1085.2344381648968	Edge2	0.6415661142183814	42.58055325226883	0.0	
290	0	2975	1429	1178.78558757688	2.579869558404182	2.0298295454545454	1.1900000000000706	3.7698695584042525	0.5500400129496364	1182.5554571352843	Edge2	6.071765205127612	404.65402852955407	0.0	
292	0	1925	352	1182.32264693649	1.5503947746398787	0.6026274889629696	0.7700000000000293	2.320394774639908	0.9477672856769092	1184.6430417111299	Edge2	3.714710594351817	249.0688547150731	0.0	
295	3	180	74	1214.5848687671	0.21055137658600007	0.10511363636363637	0.07200000000007048	0.28255137658607055	0.1054377402223637	1214.867420143686	Edge2	0.4653924778548847	30.328782211372225	0.0	
297	0	933	407	1224.09703991154	0.8753241038587274	0.578125	0.3731999999999718	1.2485241038586992	0.29719910385872733	1225.3455640153986	Edge2	2.0234233869456757	134.01532878408892	0.0	
306	3	82	7	1266.62646569229	0.24890364931327277	0.009943181818181818	0.03280000000011277	0.28170364931338554	0.23896046749509095	1266.9081693416033	Edge2	0.48738656876402636	30.23778801364949	0.0	
310	0	2260	1157	1295.02842673766	1.782994558404182	1.6434659090909092	2.4172000000001095	4.2001945584042915	0.13952864931327277	1299.2286212960644	Edge2	6.110030205127659	450.84468370455824	0.0	
311	0	4106	337	1297.77487162642	1.9605513765860003	0.4786931818181818	3.17232783851291	5.13287921509891	1.4818581947678184	1302.907750841519	Edge2	7.335785884070292	550.9581220695019	0.0	
314	0	3826	1726	1305.82944162451	2.966233194767818	2.4517045454545454	2.4820662015628217	5.44829939633064	0.5145286493132728	1311.2777410208407	Edge2	8.317699192457459	584.8150089027346	0.0	
325	0	5104	2246	1346.59311296048	4.186403649313273	3.190340909090909	2.0416000000001775	6.22800364931345	0.9960627402223636	1352.8211166097935	Edge2	9.985446568764104	668.5076837136564	0.0	
327	2	539	198	1361.56540000331	0.29151728567690915	0.28125	0.21560000000003166	0.5071172856769408	0.010267285676909143	1362.072517288987	Edge2	0.7834511142184746	54.43346232727715	0.0	
331	0	3494	1649	1373.72665771169	2.963392285676909	2.3423295454545454	3.3528000000001525	6.316192285677062	0.6210627402223636	1380.042849997367	Edge2	9.35746611421862	677.9737637522901	0.0	
345	0	2700	1131	1441.66197689643	2.050040012949636	1.6065340909090908	1.0799999999997576	3.1300400129493937	0.4435059220405455	1444.7920169093793	Edge2	4.986072023309054	335.97536494997496	0.0	
347	0	2836	1681	1445.93231577502	2.420778649313273	2.387784090909091	1.1343999999998475	3.5551786493131203	0.03299455840418187	1449.4874944243331	Edge2	5.718681568763708	381.60932103862103	0.0	
