Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
90	0	1379	1569	431.3426304267088	4.830994392512973	2.894994392512973	1.378999999999981	6.209994392512954	1.936	437.55262481922176	Edge	10.350589906523329	666.574588097948	0.0	
89	2	9269	411	430.896186458253	5.892	1.5	9.269000000000002	15.161000000000001	4.392	446.057186458253	Edge	21.7284	1627.3665790000002	0.0	
110	0	812	2054	514.9705330433246	7.550750000000001	3.91875	0.8120000000000047	8.362750000000005	3.632	523.3332830433246	Edge	14.565750000000008	897.6492222500005	0.0	
117	3	62	3365	570.1976454720516	6.082199328396762	5.3890625	0.06200000000001804	6.14419932839678	0.6931368283967626	576.3418448004484	Edge	11.022358791114195	659.512211710782	0.0	
34	3	3	237	178.65514150872676	2.5888125	0.7328125	396.19875396332486	398.7875664633249	1.856	577.4427079720516	Edge	480.0983672559898	42805.458596606826	0.0	
138	2	432	616	699.8435745925445	7.4745625	2.0265625	0.43199999999994976	7.90656249999995	5.448	707.7501370925445	Edge	13.97261249999994	848.6825121874946	0.0	
154	2	1163	7	812.7571669497856	2.8147618283967626	0.465625	1.1630000000001024	3.977761828396865	2.3491368283967624	816.7349287781825	Edge	6.462171291114295	426.9689768982911	0.0	
156	0	4980	554	813.5825489114109	4.289	1.4249999999999998	4.980000000000006	9.269000000000005	2.864	822.8515489114109	Edge	13.696200000000006	994.9251910000006	0.0	
166	0	263	1419	841.1434647604278	3.890625	2.490625	0.26300000000003365	4.153625000000034	1.4	845.2970897604279	Edge	7.318725000000041	445.8459538750036	0.0	
167	1	346	1167	862.9442275093072	1.9764374999999998	1.8484375	0.346000000000092	2.322437500000092	0.128	865.2666650093073	Edge	3.9727875000001105	249.28811881250985	0.0	
168	0	7558	4739	889.5539652163038	9.6614375	7.7734375	7.557778270044912	17.21921577004491	1.888	906.7731809863487	Edge	26.459921424053892	1848.2934015408507	0.0	
171	0	3433	241	898.1680559863487	17.828125	3.228125	6.9220000000000255	24.750125000000025	14.6	922.9181809863487	Edge	40.397025000000035	2656.653667375003	0.0	
173	0	6298	777	932.0054636612984	3.212625	1.540625	6.297892889704374	9.510517889704374	1.672	941.5159815510028	Edge	13.34019646764525	1020.8494797629778	0.0	
174	0	4688	182	936.5266690510028	11.2143125	2.0703125	5.934999999999951	17.14931249999995	9.144	953.6759815510028	Edge	27.30776249999994	1840.7900544374947	0.0	
184	0	1155	106	972.8932279463071	8.905750000000001	1.59375	1.1549999999999834	10.060749999999985	7.312	982.9539779463071	Edge	17.416349999999984	1079.9108442499983	0.0	
189	0	1282	159	1013.822547740681	2.7538125	0.6578125	1.28200000000002	4.03581250000002	2.096	1017.858360240681	Edge	6.495262500000024	433.20007793750216	0.0	
191	0	8348	220	1020.8331289670095	2.504875	0.696875	8.34800000000004	10.85287500000004	1.808	1031.6860039670096	Edge	14.526375000000048	1164.9367496250043	0.0	
193	0	203	2220	1032.6703975826201	6.241875	3.921875	0.20299999999991059	6.444874999999911	2.32	1039.11527258262	Edge	11.478974999999894	691.7864376249904	0.0	
194	2	664	1173	1051.3680782272409	2.7910743283967623	1.9859375	0.6640000000001418	3.455074328396904	0.8051368283967626	1054.8231525556378	Edge	5.820733791114342	370.86422333579526	0.0	
197	3	15	1010	1057.5922433994472	3.1945687209097353	1.8934318925129727	0.015000000000093383	3.2095687209098287	1.3011368283967626	1060.801812120357	Edge	5.7682236976376355	344.5118969337401	0.0	
200	0	1134	366	1067.771167366003	5.699386828396762	1.40625	1.133999999999907	6.833386828396669	4.293136828396762	1074.6045541943997	Edge	11.619696291114062	733.48890877327	0.0	
195	0	1	3368	1053.4570037784597	31.846249999999998	9.60625	6.1141635875433735	37.96041358754337	22.24	1091.417417366003	Edge	64.66024630505204	4074.632834073318	0.0	
208	2	612	1209	1157.2205584484177	6.2686875	2.6046875	0.6120000000000214	6.880687500000022	3.664	1164.1012459484177	Edge	12.018037500000027	738.5661155625023	0.0	
211	3	58	357	1174.584513032843	2.671125	0.9031250000000001	0.05800000000006733	2.7291250000000673	1.768	1177.313638032843	Edge	4.877625000000081	292.94154837500724	0.0	
216	2	298	712	1186.391113052176	2.4895	1.3375000000000001	0.2980000000001364	2.7875000000001364	1.152	1189.1786130521762	Edge	4.8387000000001645	299.2074625000146	0.0	
220	0	214	555	1200.1395086788114	9.597750000000001	2.29375	0.21400000000007324	9.811750000000075	7.304	1209.9512586788114	Edge	17.53275000000009	1053.183433250008	0.0	
225	3	196	111	1228.8314777741437	0.737625	0.265625	0.1959999999998927	0.9336249999998927	0.472	1229.7651027741435	Edge	1.5629249999998713	100.21437387498848	0.0	
229	0	769	429	1250.044392388084	8.454568720909736	1.9934318925129728	0.7689999999999895	9.223568720909725	6.4611368283967625	1259.2679611089936	Edge	16.14102369763751	990.048642933729	0.0	
228	0	1381	18	1247.5610930500452	18.667449328396764	3.0703125	1.3810000000000642	20.048449328396828	15.597136828396764	1267.609542378442	Edge	35.25860879111425	2151.980502460787	0.0	
